customer_city,total_price
abadia dos dourados,413.5
abadiania,1025.52
abaete,1946.81
abaetetuba,4739.21
abaiara,332.15
abaira,203.0
abare,224.73
abatia,220.19
abdon batista,156.70000000000002
abelardo luz,797.5799999999999
abrantes,761.36
abre campo,367.28999999999996
abreu e lima,2871.92
acaiaca,207.9
acailandia,1233.48
acajutiba,50.95
acarau,1639.94
acari,412.43
acegua,282.39
acopiara,901.6700000000001
acreuna,1306.45
acu,1148.8700000000001
acucena,54.11
adamantina,8077.2699999999995
adhemar de barros,166.29
adolfo,441.59000000000003
adrianopolis,89.17
adustina,102.27
afogados da ingazeira,1596.3899999999999
afonso claudio,1767.92
afranio,448.03999999999996
agisse,56.37
agrestina,4132.68
agrolandia,60.91
agronomica,281.5
agua boa,3336.82
agua branca,661.1
agua clara,259.17
agua comprida,140.65
agua doce,336.05
agua doce do norte,463.52000000000004
agua fria de goias,167.81
agua limpa,416.8
agua nova,77.67
agua preta,147.34
agua santa,227.59000000000003
aguai,2509.95
aguas belas,1041.4
aguas claras,116.96
aguas da prata,1257.57
aguas de lindoia,3862.98
aguas de santa barbara,202.03
aguas de sao pedro,304.03
aguas formosas,1580.57
aguas frias,318.98
aguas lindas de goias,2851.9
aguas mornas,104.52000000000001
aguas vermelhas,692.8900000000001
agudo,32.1
agudos,1548.79
aguia branca,199.94
aimores,1143.77
aiuaba,147.38
aiuruoca,365.03
ajapi,121.34
ajuricaba,245.37
alagoa,93.98
alagoa grande,178.52
alagoa nova,164.29
alagoinha,339.52000000000004
alagoinhas,8193.67
alambari,228.94
alcantara,464.86
alcinopolis,952.35
alcobaca,1481.9
alegre,3265.01
alegrete,5296.24
alegrete do piaui,173.88
alegria,58.28
alem paraiba,3627.93
alexandra,51.31
alexandria,221.92
alexandrita,130.0
alexania,568.25
alfenas,6761.75
alfredo chaves,1052.6100000000001
alfredo marcondes,169.23
alfredo vasconcelos,616.74
alfredo wagner,844.67
alhandra,1307.91
alianca,89.92999999999999
alianca do tocantins,264.0
almas,113.56
almenara,3212.33
almino afonso,470.01
almirante tamandare,5093.83
almirante tamandare do sul,65.0
alpercata,260.77
alpestre,136.98000000000002
alpinopolis,969.45
alta floresta,3982.87
alta floresta d'oeste,805.5
altamira,6399.84
altamira do parana,307.11
altaneira,496.26
alterosa,308.64
altinho,449.82
altinopolis,1506.04
alto alegre,366.41
alto alegre do iguacu,227.25
alto alegre do maranhao,123.32000000000001
alto alegre do pindare,259.56
alto araguaia,1228.1299999999999
alto boa vista,628.68
alto caparao,522.0799999999999
alto do rodrigues,3478.0400000000004
alto garcas,340.06
alto horizonte,285.15
alto jequitiba,275.42999999999995
alto paraiso,1333.91
alto paraiso de goias,1963.31
alto parana,451.84
alto parnaiba,948.0999999999999
alto piquiri,432.5
alto rio doce,278.54999999999995
alto rio novo,327.23
alto santo,801.01
alto sao joao,73.25
alto taquari,821.17
altonia,557.1800000000001
altos,1560.87
aluminio,1500.64
alvarenga,245.10999999999999
alvares florence,227.23
alvares machado,4227.42
alvaro de carvalho,399.0
alvinopolis,1020.9599999999999
alvorada,9323.06
alvorada d'oeste,430.1
alvorada do gurgueia,87.85
alvorada do norte,221.72
amambai,890.69
amanari,419.39
amapa do maranhao,50.05
amapora,180.65
amaraji,521.89
amarante,1907.68
amargosa,71.81
amelia rodrigues,459.30999999999995
america dourada,217.92000000000002
americana,29792.8
americano do brasil,346.28999999999996
americo brasiliense,2769.09
americo de campos,293.35999999999996
ametista do sul,275.51
amontada,81.57
amparo,13632.38
amparo da serra,66.06
ampere,1985.95
anadia,462.59999999999997
anage,97.38
analandia,575.7
ananas,122.75999999999999
ananindeua,22476.06
anapolis,21014.36
anastacio,153.35
anaurilandia,86.24
anchieta,3260.09
andarai,109.5
andira,1688.59
andorinha,797.61
andradas,4595.97
andradina,7680.6900000000005
andre da rocha,146.13
